Country,Family,Friends,Leisure time,Politics,Work,Religion,Happiness,Health
Argentina,3.897,3.412,3.186,2.005,3.643,2.851,3.164,4.09
Australia,3.907,3.485,3.304,2.435,2.977,2.257,3.25,3.943
Brazil,3.856,3.222,3.077,2.491,3.634,3.383,3.234,3.995
Chile,3.884,2.71,3.285,1.763,3.482,3.028,3.08,3.711
China,3.732,3.049,2.45,2.195,3.166,1.363,2.907,3.853
Taiwan,3.907,3.315,3.175,2.094,3.489,2.516,3.036,4.04
Finland,3.823,3.597,3.337,2.081,3.145,2.476,3.201,3.847
Hungary,3.807,3.18,3.134,1.954,3.358,2.209,2.887,3.672
India,3.875,3.183,2.637,2.136,3.559,3.158,3.007,3.831
Japan,3.857,3.341,3.243,2.627,3.234,1.607,3.092,3.563
South Korea,3.921,3.382,3.079,2.603,3.51,2.494,2.994,3.914
Mexico,3.93,3.097,3.353,2.379,3.806,3.39,3.477,3.817
New Zealand,3.917,3.419,3.276,2.249,3.002,2.107,3.327,4.142
Norway,3.889,3.632,3.435,2.62,3.421,2.172,3.323,4.169
Peru,3.792,2.698,2.909,2.049,3.639,3.18,2.927,3.514
Poland,3.917,3.264,3.066,2.035,3.385,3.276,3,3.61
Russian Federation,3.848,3.216,2.975,2.134,3.169,2.325,2.633,3.301
Slovenia,3.849,3.4,3.268,1.802,3.357,2.289,2.922,3.635
South Africa,3.942,2.981,3.066,2.435,3.63,3.559,3.136,4.094
Spain,3.872,3.424,3.317,2.081,3.329,2.232,3.034,3.944
Sweden,3.905,3.692,3.488,2.7,3.405,2.079,3.382,4.092
Switzerland,3.836,3.547,3.271,2.587,3.395,2.393,3.34,4.147
Turkey,3.974,3.583,3.32,2.171,3.371,3.631,3.187,3.751
United States,3.925,3.533,3.231,2.508,3.024,3.08,3.272,4.075
