Country,Family,Friends,Leisure time,Politics,Work,Religion,Happiness,Health
Argentina,97.075,81.15,76.05,46.4,91.65,77.275,77.65,76.18
Chile,98.825,72.45,84.1,48.15,91.225,79.8,78.525,76.82
China,88.725,73.9,61.35,65.05,84.15,34.85,71.425,75.56
India,97.025,76.975,67.975,53.275,91.45,80.925,72.575,73.9
Japan,96.475,82.975,80.875,65.65,79.75,41.125,76.925,71.24
South Korea,97.3,84.95,76.675,64.075,88.25,64.625,73.95,78.08
Mexico,98.7,76.5,81.025,58.3,94.875,87.775,86.225,75.12
Nigeria,99.625,88.15,83.025,64.15,95.625,97.775,89.425,89.5
Pakistan,97.95,70.05,53.25,42.125,87.55,94.05,72.5,75.54
Peru,95.3,69.625,64.9,60.975,91.05,83.525,73.725,71.52
Philippines,99.625,80.8,66.45,65.45,98.025,95.975,81.3,73.8
South Africa,98.325,74.575,77.275,61.45,92.2,89.475,77.85,84.1
Spain,95.95,84.225,80.6,48.45,85,62.65,76.125,77.84
Sweden,96.725,92.025,86.55,64.45,85.1,55.45,81.975,73.98
Turkey,99.075,91.475,77.05,54.55,87.75,92.65,75.6,84.48
United States,98.45,89.8,83.15,65.975,84.775,83.375,82.525,0
