Country,Family,Friends,Leisure time,Politics,Work,Religion,Happiness,Health
Argentina,3.854,3.301,2.968,2.02,3.659,2.873,3.058,3.68
Australia,3.88,3.569,3.31,2.488,3.312,2.498,3.355,4.1
Brazil,3.916,3.432,3.425,2.417,3.827,3.506,3.026,3.93
Belarus,3.79,3.077,2.909,2.228,3.212,2.388,2.333,3.02
Chile,3.842,2.843,3.22,1.794,3.509,3.047,3.052,3.68
China,3.745,3.087,2.537,2.629,3.497,1.521,3.034,3.97
Taiwan,3.748,3.148,3.012,2.32,3.324,2.511,3.176,3.56
Czech Rep.,3.88,3.256,2.959,1.977,3.265,1.796,2.875,3.53
Finland,3.739,3.505,3.214,1.907,3.261,2.392,3.114,3.92
Hungary,3.857,3.101,3.042,1.981,3.334,2.347,2.846,3.41
India,3.888,3.102,2.212,2.066,3.778,3.161,3,3.64
Japan,3.857,3.402,3.247,2.636,3.332,1.786,3.179,3.58
South Korea,3.885,3.389,3.053,2.758,3.445,2.525,2.995,3.93
Mexico,3.698,2.915,3.011,2.398,3.511,3.184,2.955,3.64
New Zealand,3.89,3.412,3.244,2.26,3.168,2.166,3.249,4.09
Nigeria,3.967,3.412,3.283,2.357,3.822,3.889,3.268,4.04
Norway,3.863,3.561,3.295,2.409,3.497,2.296,3.231,4.13
Pakistan,3.75,2.662,2.193,1.623,3.577,3.75,3.03,3.72
Peru,3.853,2.722,2.841,2.154,3.625,3.264,2.883,3.57
Philippines,3.955,3.251,2.607,2.42,3.798,3.755,3.311,3.63
Poland,3.879,3.085,2.925,2.024,3.529,3.237,2.997,3.23
Russian Federation,3.785,3.057,2.893,2.052,3.219,2.258,2.449,3
Slovakia,3.897,3.202,3.023,2.035,3.3,2.54,2.731,3.5
Slovenia,3.762,3.27,3.073,1.792,3.478,2.355,2.826,3.37
South Africa,3.903,2.757,2.92,2.297,3.678,3.54,3.015,3.89
Spain,3.804,3.283,3.09,1.84,3.449,2.678,3.035,3.81
Sweden,3.884,3.677,3.441,2.462,3.539,2.095,3.299,4.09
Switzerland,3.775,3.507,3.297,2.226,3.292,2.256,3.327,4.2
Turkey,3.959,3.683,3.118,2.5,3.678,3.744,3.368,3.7
United States,3.941,3.647,3.285,2.65,3.34,3.322,3.388,4.14
